domain,family,label
qkgogwauessomcqa.org,ramdo,dga
mrgjuva.com,tempedreve,dga
czihevypa.org,tempedreve,dga
gcdykiqaafrhanh.co,necurs,dga
qs2waoa4asus.org,qadars,dga
thosebright.net,suppobox,dga
chrisdeclaratio.com,gozi,dga
fxnbduiwirv.cc,proslikefan,dga
xwkvuz.md,conficker,dga
nightletter.net,suppobox,dga
dr3dfwnz3vhy5yu3g5.ru,rovnix,dga
shikai.com,virut,dga
13a3834368d95f4fd2085c8eac7f2843.co.cc,bamital,dga
prrozlundgutmgl.com,murofet,dga
omhhisuiwcymao.net,pykspa,dga
uzhytvdfzbtihsm.org,qakbot,dga
flatdelco.com,manuelita,dga
agxeqaaat.me,pitou,dga
mmgnhwamgjnclvxssxhc.com,zloader,dga
hbest-bondesb.de,manuelita,dga
mhlajrljulyl.com,ramnit,dga
dccbuzzyhesolutions.com,manuelita,dga
thenfine.net,suppobox,dga
mwy4qois2824.net,qadars,dga
rgztqgdlslkikmi9w.com,bedep,dga
triedcloth.net,suppobox,dga
etufjyyetlib.com,tinba,dga
lvlqwpenmpwnswut.com,sphinx,dga
innovirtualsbar.com,manuelita,dga
mtd20a17czdzfyosb18mso21mzc19d30p22p12pt.com,murofetweekly,dga
cfwssmgddcswmde.com,bedep,dga
epxgwmltrjk.pw,locky,dga
dyeyylobtsfyojlhylngixkamypxge.biz,gameover,dga
suo6gykesaw2.top,qadars,dga
udduunekre.ddns.net,symmi,dga
doeuq.tc,conficker,dga
yxpalnqdqbinut.com,ramnit,dga
gwxq.com.bs,conficker,dga
pxkk1tdx1rob4zt5.com,chinad,dga
ogayztovwmpqgydhuvsmrirmjmv.org,gameover,dga
99634b4fc69ee8812a8396d6feff0907.com,tinynuke,dga
olef16e2wpabi0a01v58q4i.ddns.net,corebot,dga
cluqxkdsholapet.com,pykspa,dga
j56g33gvgqeucsczfva17p42j56lyorhvm19cy.info,murofetweekly,dga
bwfpsipkc1v94tg.com,shiotob,dga
vksyxpvplfyw.com,bedep,dga
kupquuoxq.cc,kraken,dga
ztbknpechy.com,fobber,dga
wsgqyuqqkgygiuqc.org,ramdo,dga
evhviumtpyqv.org,necurs,dga
yqhayjsjsoet.bid,ramnit,dga
eolcbnkqtip.net,oderoor,dga
pin-up-platinumkt-bk-play.site,manuelita,dga
v9qiian.ru,qsnatch,dga
zsqazyndypftsjwthkfj.com,dircrypt,dga
sirmodelresulttrychipstomach.com,matsnu,dga
a67dyorf42h24kwn50m59csdsjsf52owjwjqnx.biz,murofetweekly,dga
wvqvwq.com,virut,dga
mjqxmjiwmtia.net,sisron,dga
f52oyhzj46h64fzj26mvj16c39bzatg63awo41a57.info,murofetweekly,dga
kycmwawegm46.top,qadars,dga
jkrwekhbhvdhig.info,cryptolocker,dga
harrietteanabella.net,suppobox,dga
cnqfxtdmjwpujwnhewhm.com,zloader,dga
lwjgagvvimxco.nu,necurs,dga
iqpmasuiwcymao.info,pykspa,dga
qhywstszhyxofwoqcxokfjrgmt.ru,gameover,dga
ntnuytghqgaenhrg.eu,emotet,dga
2tzydizsrv1qkp.com,shiotob,dga
utesabivrom,deception,dga
glm2uwilqkkg13qhdw.net,rovnix,dga
caipoiuqez.com,dnschanger,dga
hueutawal.us,pitou,dga
lymytex.com,simda,dga
skexyn.com,virut,dga
myguoswaseiwauyi.org,ramdo,dga
qkjbqxiuvg.com,fobber,dga
thejni.com,virut,dga
n1ab204789dc3bb02a7de3cea8286e0574.ws,dyre,dga
ogafdarwat.com,vawtrak,dga
pgefafebxtaibxpp.im,necurs,dga
mdewmtiwmtma.com,sisron,dga
opfoaarax.org,pitou,dga
ocsaeqafxeebih.ddns.net,symmi,dga
