Family,Accuracy Mean,Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
alureon,0.9249696969696969,0.026943194332610436,0.926507302873346,0.02670283956048227,0.9091840513455777,0.032103439479774794,0.9453333333333335,0.03303869784897031,0.09541496598639458,0.0364569520473746,0.9453333333333335,0.03303869784897031,1.5591931009806368,0.2598825515995701
bamital,0.9091436817151102,0.028145469896717137,0.909483532908764,0.029076662769856685,0.9036431646114711,0.03186798753679512,0.9171281179138323,0.04734331058645774,0.09891666666666668,0.03706797434743666,0.9171281179138323,0.04734331058645774,1.7784190176980057,0.3645027623678564
banjori,0.8852794612794614,0.03311380556284774,0.8835769014917993,0.03336995038152592,0.8978052660528648,0.04190728625182725,0.8711972789115645,0.04145080778978894,0.1006666666666667,0.04545571715661544,0.8711972789115645,0.04145080778978894,1.3748017567970134,0.22046752629026037
bedep,0.9476228956228956,0.018253873929466837,0.9503727756414889,0.016305163214586076,0.908752978394959,0.030396856963740494,0.9966666666666667,0.007453559924999305,0.10145578231292518,0.03783193995162677,0.9966666666666667,0.007453559924999305,1.4313802224393648,0.23397470387591232
charbot,0.6332053872053872,0.032549073541943134,0.4929090802127266,0.059230821159179846,0.7976112502938916,0.06986973394826115,0.35933333333333334,0.05644663162866516,0.09272108843537416,0.03703506573802726,0.35933333333333334,0.05644663162866516,1.4124813979996573,0.21573821679915967
chinad,0.9440000000000001,0.023607908279501013,0.9464615939474724,0.022068729782357775,0.911050423395425,0.03250786769909549,0.9853333333333334,0.01857118436957884,0.09733333333333336,0.03820413008505174,0.9853333333333334,0.01857118436957884,1.5372972917556764,0.26224880482751856
conficker,0.758161616161616,0.03212861655758879,0.7157304949036031,0.046785191457059304,0.8647495317581063,0.045581239950536825,0.6141360544217688,0.06415806208094878,0.09800000000000002,0.039446165846632034,0.6141360544217688,0.06415806208094878,1.4202125428662158,0.21200170208559024
corebot,0.9523063973063972,0.021283447235687262,0.9548860477241271,0.018949551191061127,0.9142858283697434,0.034150066819019165,1.0,0.0,0.09544217687074832,0.04265336501318543,1.0,0.0,1.5828948272462648,0.29341778457963846
cryptolocker,0.93,0.024083189157584565,0.9313354113091851,0.023920695994372604,0.9140132829316979,0.03042892636281634,0.9506666666666667,0.037142368739157654,0.09066666666666669,0.0360493488922554,0.9506666666666667,0.037142368739157654,1.445051023165385,0.2258528990057995
deception,0.7031333649100586,0.034224812343370874,0.6193945484628823,0.052963907268194534,0.8379379599873203,0.05803275161377705,0.4943094210240372,0.05984687707898576,0.09466666666666668,0.04063933507767512,0.4943094210240372,0.05984687707898576,1.4066406614726763,0.2832432265524358
dircrypt,0.9362828282828282,0.024191914271454458,0.9386608598989898,0.022999120076368427,0.9075783500952833,0.03125060991444784,0.9726530612244899,0.024481858124005686,0.1000544217687075,0.03756650572948463,0.9726530612244899,0.024481858124005686,1.4291600731647374,0.22526197102205095
dnschanger,0.9313333333333332,0.023199616855073726,0.9325702686360571,0.02224035550744216,0.9183216711618168,0.03085807137804683,0.9480000000000002,0.025612496949731375,0.08533333333333334,0.03537733109712426,0.9480000000000002,0.025612496949731375,1.4029211248556772,0.20861545876564946
dyre,0.8988383838383837,0.0380543965246365,0.8988084104745891,0.038298951312658834,0.8974112421032128,0.04223268403016644,0.901700680272109,0.049136040765466675,0.10400000000000002,0.04601449047129973,0.901700680272109,0.049136040765466675,1.6286905322131084,0.37783958322769423
emotet,0.9299999999999999,0.018439088914585747,0.9321229002110419,0.01733881347592997,0.9075140535537753,0.031183504548678707,0.9593333333333335,0.02606828639468954,0.09933333333333334,0.037765357435382785,0.9593333333333335,0.02606828639468954,1.4410377378463746,0.22918183952579743
fobber,0.9486666666666667,0.01892675942210449,0.9512848591322957,0.017292547706274548,0.9103099353147293,0.029885365010179032,0.9966666666666667,0.007453559924999305,0.09933333333333334,0.03595676416043147,0.9966666666666667,0.007453559924999305,1.5197443318367005,0.25624282631858025
gameover,0.950962962962963,0.02041999798259817,0.9535185073846637,0.018415139524173004,0.9128992476439114,0.033616853034041494,0.9986666666666667,0.004988876515698592,0.09666666666666669,0.0410149024407254,0.9986666666666667,0.004988876515698592,1.636039982763605,0.3282367038277337
gozi,0.8513333333333333,0.04485036851081108,0.8411016923914975,0.052723800810850555,0.8911748547495679,0.030692947955112772,0.8013333333333332,0.091204288398201,0.09866666666666668,0.03383620677453206,0.8013333333333332,0.091204288398201,1.4711575666268668,0.22474935988278405
kraken,0.817666666666667,0.028128672599719684,0.7974170212346267,0.033778928641541216,0.8961373811691005,0.03836661189530052,0.72,0.046188021535170064,0.08466666666666668,0.03413046862978721,0.72,0.046188021535170064,1.441646139939626,0.2243514110765215
locky,0.8915050505050506,0.023485508842676365,0.8887473334307536,0.02516440759840254,0.9107681834324464,0.03257507930833151,0.8696598639455784,0.04320048196384462,0.0867482993197279,0.03743248569408171,0.8696598639455784,0.04320048196384462,1.4435818678730665,0.22472134070466424
manuelita,0.5756666666666668,0.037654865407924225,0.36651167542166024,0.07233566832238375,0.7197291890081969,0.10498320407680566,0.24799999999999997,0.05717808437971084,0.09666666666666669,0.03901566636906542,0.24799999999999997,0.05717808437971084,1.3519955444335936,0.21121855164183798
matsnu,0.5313333333333333,0.024729649321321878,0.24206927276184223,0.062282348732101894,0.6367384113707645,0.09759217144896737,0.15200000000000002,0.04749736834815167,0.08933333333333335,0.037499629627800624,0.15200000000000002,0.04749736834815167,1.373923557917277,0.21390747867857388
monerominer,0.7702525252525252,0.03896684433794174,0.731092615278374,0.05495283493152921,0.8746569140170043,0.040018218248064674,0.6317551020408163,0.0742102030807648,0.09133333333333335,0.03333999933346663,0.6317551020408163,0.0742102030807648,1.4909238616448863,0.23076621940421466
