Family,Accuracy Mean,Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
alureon,0.9760000000000001,0.016248076809271934,0.9766547173799928,0.015569697584377637,0.9584756707411429,0.02745085350588712,0.996,0.01083205120618129,0.04400000000000001,0.030287511177601457,0.996,0.01083205120618129,4.340673018296559,0.4788410141693179
bamital,0.9773333333333333,0.015691469727919773,0.978065050779935,0.014947486729422801,0.9574891175335127,0.028538577264906766,1.0,0.0,0.045333333333333344,0.03138293945583952,1.0,0.0,3.5498319479624434,0.9716344001149148
banjori,0.968,0.01492201952373293,0.9684204463001933,0.014644121438981193,0.9581591429400872,0.022827600202722665,0.9793333333333334,0.01749920633120893,0.04333333333333334,0.02426703296426839,0.9793333333333334,0.01749920633120893,4.388245897213618,0.47383533923966364
bedep,0.9743333333333334,0.014985177861992697,0.9751384195919747,0.014211569185506642,0.9530654482744754,0.026520847767776672,0.9986666666666667,0.004988876515698592,0.05000000000000002,0.02955221367906867,0.9986666666666667,0.004988876515698592,4.1446852645874035,0.5260213288595562
charbot,0.8803333333333333,0.0282233158143326,0.8703138092733703,0.03288414502545218,0.9453935221309399,0.028690884253943148,0.808,0.05127702539474509,0.047333333333333345,0.026068286394689534,0.808,0.05127702539474509,4.35940484714508,0.48777550538463493
chinad,0.9763333333333333,0.014715826703096088,0.9770812486762638,0.013966326492050722,0.9555522497808845,0.02657108525577044,1.0,0.0,0.047333333333333345,0.029431653406192155,1.0,0.0,4.261436062018077,0.6148780934178684
conficker,0.8963333333333332,0.03400816895329056,0.8891916228703162,0.038754731241716474,0.9488980377119396,0.03184407467080883,0.838,0.054491589565118514,0.045333333333333344,0.02777688887466621,0.838,0.054491589565118514,2.6564398198127743,0.09821052000863868
corebot,0.9796666666666667,0.012242911781471317,0.9802125833609964,0.011728264074003139,0.9614519173157723,0.022510528240416283,1.0,0.0,0.04066666666666667,0.024485823562942613,1.0,0.0,3.832292029619217,0.6872819646888183
cryptolocker,0.9756666666666666,0.013585122581543234,0.9764151018820523,0.012849321587744062,0.954222950902566,0.02436996655055132,1.0,0.0,0.04866666666666668,0.027170245163086443,1.0,0.0,2.583769545475642,0.15213957514730198
deception,0.9130000000000001,0.02147091055358388,0.9083510298815803,0.024769392289211958,0.9545441285364473,0.019955897070031325,0.8679999999999999,0.04578209256903839,0.04200000000000001,0.020231987873991355,0.8679999999999999,0.04578209256903839,2.708011722564697,0.11312403965117775
dircrypt,0.9753333333333332,0.016478942792411036,0.9760001872382503,0.01560983282668756,0.9591153286772968,0.028763183538948946,0.994,0.009165151389911688,0.04333333333333334,0.03186778240724565,0.994,0.009165151389911688,4.215656242211661,0.5202526847209757
dnschanger,0.9713333333333334,0.016679994670929073,0.9720740547096801,0.015970363527583162,0.9526680470197195,0.02557725304360185,0.9926666666666667,0.013148721948877359,0.05000000000000002,0.02816617356570348,0.9926666666666667,0.013148721948877359,4.259075546503067,0.45967054781328903
dyre,0.9749999999999999,0.016683325008322945,0.9758674298153861,0.01583260315614559,0.9533377975664324,0.03012140648283268,1.0,0.0,0.05000000000000002,0.03336665001664586,1.0,0.0,3.538153765042623,0.9973147623364554
emotet,0.9773333333333334,0.01526069752301281,0.9780526806610912,0.014541025783035524,0.957443205593409,0.027775824885105337,1.0,0.0,0.045333333333333344,0.030521395046025593,1.0,0.0,2.515373570521673,0.20297503570767267
fobber,0.9783333333333333,0.011855612829185836,0.9789231819681502,0.011235854840334406,0.9589514303813229,0.021354013238615813,1.0,0.0,0.04333333333333334,0.023711225658371655,1.0,0.0,2.502440965572993,0.22815878086534172
gameover,0.9756666666666666,0.012827920936595915,0.9763976834482515,0.012216481954390923,0.9541620757122052,0.023317507608014054,1.0,0.0,0.04866666666666668,0.02565584187319181,1.0,0.0,2.201508422692617,0.48522423565940115
gozi,0.9640000000000001,0.016248076809271927,0.96440799795102,0.015968111310931954,0.9546850950453826,0.02117263478528995,0.9746666666666669,0.019275776393067965,0.046666666666666676,0.02270584848790187,0.9746666666666669,0.019275776393067965,2.569656578381856,0.14850279926752358
kraken,0.9749999999999999,0.014776106839534347,0.9758121533475118,0.014042219191128092,0.9531335735830739,0.026756485213919233,1.0,0.0,0.05000000000000002,0.02955221367906867,1.0,0.0,2.5555725406010947,0.15783959701142658
locky,0.9706666666666667,0.015040685563571307,0.971375416384916,0.014379592349670024,0.9531982981871995,0.024655103913641285,0.9906666666666666,0.012364824660660946,0.04933333333333335,0.02719477073916152,0.9906666666666666,0.012364824660660946,2.7449136779308323,0.21009530928708595
manuelita,0.6226666666666667,0.03932203227482302,0.42971793081898196,0.0859049070425599,0.8650888835244065,0.06770453782520229,0.2893333333333334,0.07169069364677366,0.04400000000000001,0.023323807579381198,0.2893333333333334,0.07169069364677366,2.665782731135686,0.11076039725569371
matsnu,0.8743333333333333,0.029741478704925838,0.862536363846609,0.035256059850218624,0.9475393029998976,0.03169420778511235,0.7933333333333333,0.05198290317231446,0.044666666666666674,0.028134597128012254,0.7933333333333333,0.05198290317231446,2.6657935767968497,0.0885999915069628
monerominer,0.964,0.017813852287849853,0.9643458789146774,0.01791524907705738,0.9548988758807708,0.023500389859820135,0.9746666666666667,0.02679966832298905,0.046666666666666676,0.025473297566057065,0.9746666666666667,0.02679966832298905,4.142123636325199,0.5711364299366825
murofet,0.9746666666666666,0.014079141387961928,0.9754749514666695,0.013283198222546881,0.9524499451987427,0.025138955795633706,1.0,0.0,0.05066666666666668,0.028158282775923835,1.0,0.0,4.183796035130819,0.5605996718719081
murofetweekly,0.9769999999999999,0.012151817422372134,0.9776544152366173,0.011560864512147686,0.9565349272341502,0.022046405296741272,1.0,0.0,0.04600000000000001,0.024303634844744244,1.0,0.0,3.4687476367155714,1.125619863582333
