Family,Accuracy Mean,Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
verblecon,0.9766666666666667,0.012472191289246483,0.9773430351049363,0.011843386552255461,0.9559509597430427,0.022534380900620137,1.0,0.0,0.046666666666666676,0.024944382578492942,1.0,0.0,4.229159340937932,0.5984440656771254
bigviktor,0.6516666666666667,0.03142009265139463,0.49840401661524775,0.06317472139743513,0.8841935690827872,0.06182385387833603,0.34933333333333333,0.05650565360111224,0.04600000000000001,0.024846193538112297,0.34933333333333333,0.05650565360111224,2.612775069316229,0.10182469068536595
goz,0.9796666666666667,0.01168569876197208,0.9801998152194079,0.011171898707069944,0.9614028624942426,0.021394116945633916,1.0,0.0,0.04066666666666667,0.023371397523944137,1.0,0.0,2.203408072392146,0.49042523905015467
new_goz,0.9766666666666666,0.014220486005134375,0.9773850760611122,0.013413942669897793,0.9561032419985434,0.025377190016886847,1.0,0.0,0.046666666666666676,0.028440972010268722,1.0,0.0,2.201776557445526,0.48918311562244754
ccleaner,0.5893333333333334,0.027438820836342227,0.3498360678356475,0.06457831721808932,0.8381835159737637,0.09329897723779441,0.22333333333333333,0.04928375887540325,0.044666666666666674,0.02765662468358872,0.22333333333333333,0.04928375887540325,2.5356988072395326,0.1601944534913559
enviserv,0.5720000000000002,0.026381811916545816,0.3103716541024672,0.0564016951044564,0.7982393505187624,0.09433811473638136,0.194,0.041036569057366384,0.05000000000000001,0.027688746209726917,0.194,0.041036569057366384,2.5983383538722986,0.13503784563117863
xshellghost,0.9766666666666666,0.013984117975602034,0.9772855436571956,0.013328701873845144,0.9583098844674871,0.02360981305038987,0.9973333333333334,0.006798692684790386,0.04400000000000001,0.026025628394590848,0.9973333333333334,0.006798692684790386,2.5655823705196377,0.12578309326216208
bazarbackdoor,0.4803333333333334,0.015162087220725543,0.010940544124920158,0.02810410089186021,0.07142857142857142,0.1630850999050358,0.006,0.015620499351813305,0.045333333333333344,0.02729265265394496,0.006,0.015620499351813305,2.602916455348333,0.08988261084447197
pizd,0.9293333333333335,0.022647050335284014,0.9271076284127898,0.02418087968913397,0.9543376443641448,0.026796167510450577,0.9026666666666666,0.039911012125588716,0.04400000000000001,0.0265329983228432,0.9026666666666666,0.039911012125588716,2.715481307347615,0.09505448666163097
bumblebee,0.4840000000000001,0.013063945294843615,0.022487171575221888,0.02071133913899091,0.2011111111111111,0.20013575639463912,0.012000000000000002,0.011075498483890767,0.04400000000000001,0.024440403706431146,0.012000000000000002,0.011075498483890767,2.5221036031246187,0.1573333859218232
dmsniff,0.975,0.013354150416006764,0.9755579019352535,0.012885589827463078,0.9581132094400949,0.021696728281408548,0.994,0.012806248474865712,0.04400000000000001,0.023888630489558558,0.994,0.012806248474865712,2.656745620886485,0.0851664390781917
sharkbot,0.7530000000000001,0.01985782801147532,0.6909480271446561,0.022847139428282266,0.9247758870151804,0.044949748300549264,0.552,0.019043809142780914,0.04600000000000001,0.029280255007997,0.552,0.019043809142780914,4.081076797644298,0.5992493948780226
ngioweb,0.785,0.03547299442298794,0.7394623595934292,0.04890814796881405,0.9339305864953169,0.04751392790642399,0.6146666666666667,0.06130434097372078,0.044666666666666674,0.032937651538761666,0.6146666666666667,0.06130434097372078,4.25008349498113,0.6030526117615665
tufik,0.9799999999999999,0.010327955589886455,0.9804925069232312,0.009911166098982457,0.9619166948615707,0.019047178156329947,1.0,0.0,0.04000000000000001,0.02065591117977289,1.0,0.0,2.4997187991937,0.19146182189219113
