Family,Accuracy Mean,Accuracy Std Dev,Balanced Accuracy Mean,Balanced Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
verblecon,0.9760000000000001,0.01762573875520304,0.9760000000000001,0.01762573875520306,0.976846673742236,0.016513200907934834,0.9552424840691288,0.031062928953207065,1.0,0.0,0.048000000000000015,0.035251477510406096,1.0,0.0,3.268099915266037,0.7129397873358738
bigviktor,0.6506666666666666,0.03265305839002255,0.6506666666666666,0.032653058390022534,0.49772148275289585,0.06317621187821408,0.883732694447932,0.07269717265200179,0.34933333333333333,0.05650565360111224,0.048000000000000015,0.035251477510406096,0.34933333333333333,0.05650565360111224,2.625638602018357,0.10542224577385138
goz,0.9760000000000001,0.01762573875520304,0.9760000000000001,0.01762573875520306,0.976846673742236,0.016513200907934834,0.9552424840691288,0.031062928953207065,1.0,0.0,0.048000000000000015,0.035251477510406096,1.0,0.0,2.1945220249493915,0.4816047645389751
new_goz,0.9760000000000001,0.01762573875520304,0.9760000000000001,0.01762573875520306,0.976846673742236,0.016513200907934834,0.9552424840691288,0.031062928953207065,1.0,0.0,0.048000000000000015,0.035251477510406096,1.0,0.0,2.194395283778509,0.481767850120442
ccleaner,0.5876666666666667,0.03470670764500077,0.5876666666666667,0.03470670764500078,0.349551393976941,0.0682476092854621,0.8252658829245517,0.11435032358726377,0.22333333333333333,0.04928375887540325,0.048000000000000015,0.035251477510406096,0.22333333333333333,0.04928375887540325,2.538533205588659,0.1619267001971067
enviserv,0.5730000000000001,0.028065399813055683,0.5730000000000002,0.028065399813055683,0.31092506157713296,0.05592187319581316,0.8128265688559807,0.11793660012211273,0.194,0.041036569057366384,0.048000000000000015,0.035251477510406096,0.194,0.041036569057366384,2.5843240268230443,0.1258941616599383
xshellghost,0.9746666666666667,0.01802467444612769,0.9746666666666667,0.018024674446127712,0.9755017348399522,0.016911493515652277,0.9551301689676497,0.031217092231645427,0.9973333333333334,0.006798692684790386,0.048000000000000015,0.035251477510406096,0.9973333333333334,0.006798692684790386,2.5722730987866718,0.1301257237900303
bazarbackdoor,0.4790000000000001,0.01680277754817141,0.4790000000000001,0.016802777548171405,0.01068963675665042,0.027256246620070018,0.06083333333333333,0.13946242690602556,0.006,0.015620499351813305,0.048000000000000015,0.035251477510406096,0.006,0.015620499351813305,2.612723408142726,0.09411539073780278
pizd,0.9273333333333333,0.024756592836836167,0.9273333333333333,0.024756592836836188,0.9253279886779346,0.025954550703381835,0.9508137252325164,0.03322656386619327,0.9026666666666666,0.039911012125588716,0.048000000000000015,0.035251477510406096,0.9026666666666666,0.039911012125588716,2.709275384187698,0.09798509857129521
bumblebee,0.4820000000000001,0.017009801096230768,0.4820000000000001,0.01700980109623076,0.022290585443609564,0.020235699507720563,0.2299074074074074,0.2759902516369523,0.012000000000000002,0.011075498483890767,0.048000000000000015,0.035251477510406096,0.012000000000000002,0.011075498483890767,2.5314005063374836,0.1647715105843399
dmsniff,0.9730000000000001,0.01934769581457526,0.9730000000000001,0.019347695814575284,0.9738001599820935,0.018366452525966078,0.9549431404958568,0.03128951751898567,0.994,0.012806248474865712,0.048000000000000015,0.035251477510406096,0.994,0.012806248474865712,2.6507973324457805,0.08258487952476248
sharkbot,0.752,0.02088061301782112,0.752,0.02088061301782112,0.6901574326785413,0.022753115335250755,0.9227235206515423,0.05127996600892148,0.552,0.019043809142780914,0.048000000000000015,0.035251477510406096,0.552,0.019043809142780914,3.194940285682677,0.6338831980761854
ngioweb,0.7833333333333332,0.03339993346633426,0.7833333333333332,0.033399933466334276,0.7379551870471095,0.04698678694977826,0.9297478724813301,0.04555787402040627,0.6146666666666667,0.06130434097372078,0.048000000000000015,0.035251477510406096,0.6146666666666667,0.06130434097372078,3.319639366626739,0.7861463477397955
tufik,0.9760000000000001,0.01762573875520304,0.9760000000000001,0.01762573875520306,0.976846673742236,0.016513200907934834,0.9552424840691288,0.031062928953207065,1.0,0.0,0.048000000000000015,0.035251477510406096,1.0,0.0,2.4995581240653992,0.19096200084543613
