Family,Accuracy Mean,Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
alureon,0.5589999999999999,0.017194960502038552,0.6940615597502292,0.008300410536295889,0.5315277151381775,0.009748721971552896,1.0,0.0,0.8820000000000001,0.03438992100407715,1.0,0.0,0.9122539744377136,0.07876779242337978
bamital,0.5324983164983165,0.023339016220714107,0.6701255373127101,0.01803142911927861,0.5177815288075976,0.012524931635443102,0.9500000000000001,0.03678767909685705,0.8852925170068027,0.03416344952905627,0.9500000000000001,0.03678767909685705,1.1284246487352583,0.24770808982607562
banjori,0.5563333333333333,0.020080393975772017,0.692815551854824,0.009697821897987973,0.5300904795067918,0.011392449078588093,1.0,0.0,0.8873333333333332,0.04016078795154409,1.0,0.0,0.8704022629261013,0.07121013437960513
bedep,0.5648451178451179,0.021137007996700177,0.6970122951501811,0.010158387011925655,0.535027182686067,0.011965648875061087,1.0,0.0,0.8706258503401361,0.042746664643526784,1.0,0.0,0.937882070428996,0.12176764254885099
charbot,0.5523333333333333,0.019779338265529044,0.6878338570894521,0.010846996726481803,0.528216044160328,0.011143873220952281,0.9860000000000001,0.013808210118138665,0.8813333333333334,0.03757067414294766,0.9860000000000001,0.013808210118138665,0.8889365223248801,0.07536201350842889
chinad,0.5575151515151515,0.018098191519370324,0.6931377183792584,0.009029650738813351,0.5308220875455911,0.010158961131787606,0.9986666666666667,0.004988876515698592,0.8839455782312925,0.035498838330168356,0.9986666666666667,0.004988876515698592,0.9771753921308101,0.1417878149524912
conficker,0.5516666666666666,0.01845414738088852,0.6887994527841417,0.010602657714692217,0.5276079422294491,0.010381781339863894,0.9920000000000001,0.012220201853215585,0.8886666666666667,0.03211783858785577,0.9920000000000001,0.012220201853215585,0.895962415377299,0.07672043971143357
corebot,0.5579999999999999,0.024413111231467385,0.6936811649424226,0.011809380255160127,0.5311453628442089,0.013890391131764879,1.0,0.0,0.884,0.048826222462934804,1.0,0.0,1.0410144909222923,0.1934693717466763
cryptolocker,0.5633333333333334,0.021959558789334113,0.696217859370106,0.010611950257496968,0.5341001374199161,0.012473468855911737,1.0,0.0,0.8733333333333333,0.043919117578668274,1.0,0.0,0.9524364267985026,0.10412484140294231
deception,0.5520539577697163,0.01241578934492163,0.689058284532934,0.0066535645869648195,0.5256601904262369,0.007753465697518603,1.0,0.0,0.8892925170068025,0.025075907713778843,1.0,0.0,0.8700489467450715,0.11602675542607563
